label,xchannel,ychannel,zchannel,wsurf
%f,%f,%f,%f,%f
1314,1005.956,931.249,99.068,100
1315,1005.789,931.458,98.796,100
1316,1005.61,931.937,98.91,100
1317,1005.344,931.947,98.621,100
1318,1005.369,931.933,98.599,100
1319,1005.425,931.44,98.692,100
1320,1005.694,930.946,99.004,100
1321,1005.777,930.833,98.888,100
1322,1005.362,930.675,98.821,100
1323,1005.303,931.072,98.746,100
1324,1005.118,931.476,98.574,100
1325,1004.931,931.602,98.815,100
1326,1005.076,931.729,98.819,100
1327,1004.972,931.958,98.761,100
1328,1004.659,931.824,98.469,100
1329,1004.849,931.374,98.56,100
1330,1005.166,930.933,98.747,100
1331,1005.312,930.513,98.796,100
1332,1004.944,930.392,98.885,100
1333,1004.73,930.736,98.676,100
1334,1004.613,931.107,98.603,100
1335,1004.467,931.566,98.511,100
1336,1004.241,931.42,98.526,100
1337,1004.329,931.228,98.725,100
1338,1004.521,930.854,98.761,100
1339,1004.531,930.437,98.792,100
1340,1004.657,930.199,98.899,100
1341,1004.295,930.133,99.03,100
1342,1004.248,930.59,99.026,100
1343,1004.134,930.764,98.684,100
1344,1003.966,931.065,98.61,100
1345,1003.802,931.408,98.548,100
1346,1003.655,931.298,98.977,100
1347,1003.488,931.264,98.899,100
1348,1003.583,931.077,98.862,100
1349,1003.659,930.897,98.737,100
1350,1003.789,930.661,98.946,100
1351,1003.907,930.197,99.005,100
1352,1004.017,929.951,99.017,100
1353,1003.695,929.824,98.874,100
1354,1003.556,930.097,98.895,100
1355,1003.562,930.205,99.123,100
1356,1003.459,930.483,98.979,100
1357,1003.293,930.788,98.813,100
1358,1003.037,931.214,98.844,100
1359,1002.851,931.071,98.911,100
1360,1003.017,930.712,98.906,100
1361,1003.12,930.324,98.87,100
1362,1003.315,929.975,98.957,100
1363,1003.383,929.584,98.869,100
1364,1002.984,929.481,98.943,100
1365,1002.748,929.928,98.899,100
1366,1002.6,930.192,99.148,100
1367,1002.504,930.822,98.963,100
1368,1002.141,930.604,99.007,100
1369,1002.325,930.278,99.082,100
1370,1002.445,929.844,98.961,100
1371,1002.704,929.394,98.901,100
1372,1002.31,929.17,99.044,100
1373,1002.141,929.339,98.911,100
1374,1001.963,929.727,98.943,100
1375,1001.844,929.841,99.099,100
1376,1001.71,930.221,98.943,100
1377,1001.407,930.016,98.957,100
1378,1001.609,929.543,98.93,100
1379,1001.822,929.23,98.973,100
1380,1001.849,929.003,98.909,100
1381,1001.132,930.441,98.939,100
1382,1001.035,930.813,98.971,100
1383,1000.739,931.504,98.95,100
1384,1000.697,931.704,99.015,100
1385,1000.985,931.751,98.922,100
1386,1001.209,931.373,98.936,100
1387,1001.382,930.881,98.919,100
1388,1001.299,930.517,98.89,100
1389,1001.782,930.918,98.901,100
1390,1001.593,931.303,98.947,100
1391,1001.305,931.766,98.9,100
1392,1001.431,931.91,99.034,100
1393,1001.622,931.695,99.043,100
1394,1001.768,931.425,98.968,100
1395,1002.045,930.957,98.958,100
1396,1002.408,931.234,98.964,100
1397,1002.258,931.55,98.982,100
1398,1002.034,931.776,99.081,100
1399,1001.829,932.112,99.102,100
1400,1002.037,932.312,99.138,100
1401,1002.296,931.995,99.091,100
1402,1002.375,931.774,98.95,100
1403,1002.546,931.357,98.928,100
1404,1002.863,931.391,98.837,100
1405,1002.7,931.817,98.834,100
1406,1002.531,932.18,98.815,100
1407,1002.366,932.487,98.833,100
1408,1002.732,932.594,98.663,100
1409,1003.083,932.223,98.718,100
1410,1003.277,931.75,98.703,100
1411,1003.331,931.53,98.872,100
1412,1003.48,931.638,98.892,100
1413,1003.457,931.734,98.64,100
1414,1003.412,931.995,98.614,100
1415,1003.196,932.392,98.61,100
1416,1002.996,932.637,98.557,100
1417,1003.318,932.727,98.415,100
1418,1003.456,932.581,98.471,100
1419,1003.646,932.123,98.551,100
1420,1003.913,931.69,98.545,100
1421,1004.141,931.804,98.451,100
1422,1004.095,932.242,98.453,100
1423,1003.8,932.524,98.621,100
1424,1003.57,932.736,98.338,100
1425,1003.407,933.123,98.305,100
1426,1003.8,933.307,98.234,100
1427,1003.997,932.83,98.225,100
1428,1004.194,932.543,98.273,100
1429,1004.292,932.127,98.489,100
1430,1004.579,931.759,98.534,100
1431,1004.902,932,98.461,100
1432,1004.661,932.374,98.349,100
1433,1004.383,932.656,98.305,100
1434,1004.086,933.182,98.247,100
1435,1004.512,933.308,98.312,100
1436,1004.632,932.963,98.382,100
1437,1004.777,932.522,98.445,100
1438,1005.062,932.086,98.514,100
1439,1005.336,932.381,99.003,100
1440,1005.098,932.658,99.026,100
1441,1004.996,933.049,99.008,100
1442,1004.896,933.254,98.641,100
1443,1004.603,933.688,98.412,100
1444,1004.8,933.879,98.587,100
1445,1004.99,933.528,98.851,100
1446,1005.24,933.201,99.025,100
1447,1005.361,932.852,99.068,100
1448,1005.528,932.563,99.11,100
1449,1005.741,932.168,99.075,100
1450,1006.067,932.402,99.186,100
1451,1005.778,932.92,99.117,100
1452,1005.521,933.194,99.115,100
1453,1005.283,933.589,98.976,100
1454,1005.371,933.825,98.928,100
1455,1005.456,934.39,98.977,100
1456,1005.334,934.769,98.978,100
1457,1005.15,935.216,98.959,100
1458,1004.733,934.044,98.404,100
1459,1004.457,934.415,98.377,100
1460,1004.301,934.978,98.297,100
1461,1004.644,935.107,98.582,100
1462,1003.934,934.761,98.196,100
1463,1004.027,934.243,98.259,100
1464,1004.221,933.838,98.233,100
1465,1003.882,933.569,98.228,100
1466,1003.698,934.08,98.146,100
1467,1003.593,934.569,98.179,100
1468,1003.19,934.475,98.48,100
1469,1003.025,934.446,98.325,100
1470,1003.282,933.949,98.254,100
1471,1003.55,933.531,98.206,100
1472,1003.213,933.424,98.341,100
1473,1003.147,933.706,98.501,100
1474,1002.975,934.128,98.28,100
1475,1002.706,934.302,98.322,100
