Timestamp,u1,w1,u2,w2,u3,w3,u4,w4 
%s,%f,%f,%f,%f,%f,%f,%f,%f 
"2004-08-13 17:23:22.45",-216.771,71.9849,-213.253,171.433,-227.075,-126.951,-150.13,-36.5369 
"2004-08-13 17:23:22.5",-173.187,82.7826,-199.168,166.745,-209.875,-96.363,-169.376,-71.5413 
"2004-08-13 17:23:22.55",-148.033,137.255,-179.196,140.36,-218.173,12.8544,-166.967,-48.4739 
"2004-08-13 17:23:22.6",-153.074,97.472,-149.666,88.6906,-180.597,162.279,-151.461,-0.0806553 
"2004-08-13 17:23:22.65",-186.677,69.5047,-110.064,73.2754,-144.061,255.143,-153.618,13.913 
"2004-08-13 17:23:22.7",-199.864,149.374,-104.58,1.95589,-131.509,263.168,-174.004,-1.71393 
"2004-08-13 17:23:22.75",-193.926,191.345,-151.824,-62.3768,-126.054,201.548,-171.564,-85.3938 
"2004-08-13 17:23:22.8",-164.94,181.253,-186.909,-103.279,-144.292,160.887,-159.325,-119.4 
"2004-08-13 17:23:22.85",-133.696,166.382,-184.368,-90.8482,-166.846,92.0781,-171.937,-152.691 
"2004-08-13 17:23:22.9",-110.71,117.263,-135.491,32.4033,-164.305,17.8147,-181.565,-166.997 
"2004-08-13 17:23:22.95",-95.5161,65.0183,-114.773,122.445,-135.047,3.30687,-216.61,-7.59168 
"2004-08-13 17:23:23",-74.4045,19.569,-94.4071,164.668,-106.959,-26.7574,-265.921,185.941 
"2004-08-13 17:23:23.05",-67.3472,85.1115,-77.8526,209.643,-109.59,-73.85,-252.209,317.611 
"2004-08-13 17:23:23.1",-96.1916,200.59,-128.212,225.532,-132.476,-84.6276,-267.816,306.168 
"2004-08-13 17:23:23.15",-151.622,226.198,-223.103,196.073,-144.917,-62.2256,-278.251,240.242 
"2004-08-13 17:23:23.2",-146.773,220.028,-275.206,135.128,-157.278,11.4026,-245.475,201.044 
"2004-08-13 17:23:23.25",-125.298,166.916,-254.084,64.1512,-173.621,120.943,-198.856,102.231 
"2004-08-13 17:23:23.3",-184.449,94.4575,-231.33,12.8141,-176.484,212.083,-147.65,7.14808 
"2004-08-13 17:23:23.35",-218.909,16.4839,-196.265,-87.995,-174.689,248.983,-112.887,-23.9143 
"2004-08-13 17:23:23.4",-216.429,-9.54757,-157.933,-159.869,-186.717,181.384,-96.9376,-19.0951 
"2004-08-13 17:23:23.45",-225.17,5.67612,-151.773,-151.43,-187.161,69.0611,-95.3346,14.4776 
